BillingId,ProductId,SubProductId,PrimaryTerritory,SecondaryTerritory
1239341,1,0,100424,
1239461,1,0,100823,103280
1239631,1,0,100429,
1239824,1,0,100424,
1240584,1,0,107950,
1240951,1,0,103974,
1241641,1,0,100822,
1242071,1,0,100429,
1242671,1,0,100424,
1243074,1,0,100424,
1243611,1,0,100429,
1244111,1,0,100429,
1244934,1,0,100424,
1245661,1,0,100429,
1246431,1,0,100429,
1246804,1,0,100429,
1246931,1,0,100429,
1247024,1,0,100823,
1247371,1,0,100429,
1247891,1,0,100429,
1248171,1,0,103974,
1248324,1,0,103974,
1250921,1,0,100429,
1251174,1,0,100429,
1251181,1,0,100429,
1251844,1,0,100385,
1252371,1,0,100429,
1252761,1,0,100823,
1253181,1,0,100429,
1253881,1,0,100429,
1254041,1,0,100424,
1254244,1,0,,103293
1254584,1,0,100429,
1255584,1,0,100424,
1255711,1,0,100429,
1255984,1,0,100429,
1256264,1,0,100429,
1257694,1,0,100823,
1257744,1,0,100424,
1258431,1,0,100429,
1258731,1,0,100429,
1259351,1,0,100822,
1259821,1,0,100429,
1260121,1,0,100424,
1260351,1,0,100429,
1260524,1,0,103974,
1260781,1,0,,102867
1260871,1,0,100429,
1261751,1,0,100424,
1262764,1,0,100424,
1262781,1,0,100429,
1263411,1,0,100429,
1265641,1,0,103974,
1266344,1,0,100424,
1267714,1,0,100429,
1267734,1,0,100429,
1268014,1,0,100424,
1268081,1,0,100429,
1268884,1,0,100424,
1269084,1,0,100429,
1269901,1,0,100822,
1270091,1,0,100429,
1270341,1,0,100429,
1272424,1,0,103974,
1272714,1,0,100424,
1273261,1,0,100429,
1273661,1,0,100424,
1274111,1,0,100429,
1274171,1,0,100424,
1274391,1,0,100429,
1274791,1,0,100424,
1274941,1,0,,102873
1276081,1,0,100429,
1276371,1,0,100424,
1276981,1,0,100823,
1277481,1,0,100424,
1278541,1,0,100429,
1279101,1,0,,102873
1279911,1,0,100429,
1280124,1,0,103974,
1280364,1,0,100429,
1281704,1,0,100429,
1282131,1,0,100424,
1282251,1,0,100424,
1282361,1,0,100424,
1283964,1,0,,102864
1284744,1,0,100429,
1285214,1,0,100429,
