acct_no,product_id,sub_product_id,pri_terr,sec_terr
ST1355815,1,0,100429,
ST1358895,1,0,100429,
ST1359945,1,0,100429,
ST1361565,1,0,100424,
ST1362365,1,0,100424,
ST1365835,1,0,100429,
ST1367015,1,0,100429,
ST1367785,1,0,100429,
ST1368485,1,0,100823,
ST1369505,1,0,100424,
ST1370944,1,0,103974,
ST1371195,1,0,,102873
ST1371275,1,0,103974,
ST1371525,1,0,100429,
ST1373545,1,0,100429,
ST1373605,1,0,103974,
ST1373994,1,0,100429,
ST1375454,1,0,100429,
ST1375655,1,0,100424,
ST1377564,1,0,100429,
ST1377714,1,0,100429,
ST1379104,1,0,103974,
ST1379654,1,0,100429,
ST1379934,1,0,100333,
ST1381044,1,0,103974,
ST1381255,1,0,100429,
ST1381555,1,0,100429,
ST1385435,1,0,100429,
ST1386034,1,0,100429,
ST1386654,1,0,100429,
ST1388474,1,0,100429,
ST1389165,1,0,103974,
ST1391654,1,0,103974,
ST1392950,1,0,100429,
ST1393055,1,0,100429,
ST1394264,1,0,103974,
ST1394335,1,0,100429,
ST1395405,1,0,100424,
ST1395445,1,0,100429,
ST1395754,1,0,103974,
ST1395884,1,0,100429,
ST1396145,1,0,100429,
ST1396165,1,0,103974,
ST1396330,1,0,103974,
ST1396700,1,0,100429,
ST1397024,1,0,100429,
ST1400165,1,0,100429,
ST1400395,1,0,100429,
ST1400724,1,0,100424,
ST1400874,1,0,100424,
ST1401280,1,0,100823,
ST1401955,1,0,100424,
ST1401975,1,0,100424,
ST1402965,1,0,100429,
ST1403390,1,0,100429,
ST1405044,1,0,100429,
ST1405635,1,0,100429,
ST1405815,1,0,107951,
ST1406304,1,0,100424,
ST1407080,1,0,100429,
ST1407765,1,0,100822,
ST1407844,1,0,100429,
ST1408124,1,0,100429,
ST1408855,1,0,109000,
ST1409475,1,0,100424,
ST1409814,1,0,100429,
ST1410130,1,0,100429,
ST1411915,1,0,100424,
ST1412034,1,0,100385,
ST1412335,1,0,100424,
ST1414120,1,0,100429,
